epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,4187.61,1.05003,1.07385,1.41856,0.8779,0.74222,0.81738,0.6328,1.00891,0.90732,1.4582,0.000495266,0.000495266,0.000495266
73,4244.68,1.026,1.0476,1.40044,0.85507,0.75924,0.81651,0.62863,1.00766,0.90682,1.46707,0.000478762,0.000478762,0.000478762
74,4302.54,1.02461,1.03658,1.38611,0.83686,0.76235,0.81659,0.63097,0.9962,0.8888,1.44463,0.000462259,0.000462259,0.000462259
75,4361.12,1.0282,1.03263,1.39607,0.85776,0.75373,0.81703,0.63091,1.00353,0.90646,1.44659,0.000445756,0.000445756,0.000445756
76,4418.69,1.01947,1.03584,1.3879,0.86122,0.76001,0.8254,0.64255,0.97809,0.881,1.42097,0.000429253,0.000429253,0.000429253
77,4476.81,1.00354,1.0165,1.37214,0.87095,0.76663,0.82673,0.64711,0.97403,0.86261,1.41882,0.000412749,0.000412749,0.000412749
78,4533.68,1.01264,1.01708,1.39105,0.88008,0.77511,0.83209,0.6487,0.97276,0.8561,1.412,0.000396246,0.000396246,0.000396246
79,4589.73,1.01639,1.03024,1.38797,0.86592,0.77625,0.83399,0.65267,0.96172,0.85412,1.41059,0.000379743,0.000379743,0.000379743
80,4647.11,1.00173,1.0265,1.37733,0.86112,0.77937,0.83582,0.65309,0.96987,0.84756,1.41048,0.000363239,0.000363239,0.000363239
81,4704.1,0.99221,1.01393,1.37643,0.88691,0.77528,0.83876,0.65254,0.96625,0.84349,1.41425,0.000346736,0.000346736,0.000346736
82,4760.58,0.99631,0.99449,1.37987,0.8803,0.77268,0.84025,0.65689,0.95053,0.84128,1.40155,0.000330233,0.000330233,0.000330233
83,4818.42,1.0015,0.9956,1.37542,0.8831,0.782,0.84289,0.66054,0.94566,0.82532,1.39903,0.000313729,0.000313729,0.000313729
84,4875.67,0.99204,1.00926,1.37665,0.88733,0.78067,0.84234,0.66434,0.93854,0.8298,1.39367,0.000297226,0.000297226,0.000297226
85,4932.86,0.97307,0.95703,1.34435,0.88122,0.78415,0.84524,0.66389,0.94216,0.82079,1.39005,0.000280723,0.000280723,0.000280723
86,4991.12,0.97041,0.96254,1.35702,0.88982,0.78526,0.84751,0.66618,0.92476,0.81515,1.37621,0.00026422,0.00026422,0.00026422
87,5048.12,0.96264,0.95198,1.34529,0.89086,0.78248,0.84731,0.66566,0.92826,0.81605,1.38404,0.000247716,0.000247716,0.000247716
88,5105.05,0.97422,0.97485,1.36441,0.88553,0.7859,0.84798,0.66759,0.92692,0.80278,1.37558,0.000231213,0.000231213,0.000231213
89,5162.13,0.97228,0.9645,1.35151,0.88114,0.78754,0.8495,0.67333,0.91121,0.79594,1.36858,0.00021471,0.00021471,0.00021471
90,5218.72,0.96464,0.95248,1.34063,0.88222,0.78783,0.85154,0.67474,0.90867,0.78427,1.35983,0.000198206,0.000198206,0.000198206
91,5276.77,0.94128,0.91698,1.40384,0.87956,0.77742,0.84845,0.67168,0.91128,0.80282,1.36531,0.000181703,0.000181703,0.000181703
92,5332.96,0.93876,0.88029,1.40274,0.89102,0.78311,0.85224,0.67569,0.90536,0.79834,1.36291,0.0001652,0.0001652,0.0001652
93,5388.2,0.93071,0.86501,1.39772,0.90113,0.78258,0.85636,0.68075,0.89086,0.78134,1.35394,0.000148696,0.000148696,0.000148696
94,5443.98,0.92378,0.84989,1.38447,0.89924,0.7827,0.85799,0.68344,0.89121,0.77018,1.34786,0.000132193,0.000132193,0.000132193
95,5499.12,0.90176,0.83147,1.35835,0.89894,0.79133,0.86259,0.69103,0.88082,0.76697,1.34164,0.00011569,0.00011569,0.00011569
96,5554.33,0.91034,0.83946,1.37517,0.89207,0.78986,0.86083,0.68796,0.88359,0.76378,1.34384,9.91865e-05,9.91865e-05,9.91865e-05
97,5610.77,0.90136,0.82641,1.36,0.90549,0.79056,0.86251,0.69255,0.87449,0.756,1.33483,8.26832e-05,8.26832e-05,8.26832e-05
98,5667.66,0.90195,0.82399,1.36271,0.90046,0.79376,0.86464,0.69213,0.87329,0.75386,1.33136,6.61799e-05,6.61799e-05,6.61799e-05
99,5724.4,0.89981,0.80569,1.36766,0.90873,0.79175,0.86602,0.69525,0.86975,0.74715,1.32969,4.96766e-05,4.96766e-05,4.96766e-05
100,5781.37,0.89832,0.805,1.35768,0.90788,0.7937,0.86823,0.69724,0.86611,0.74431,1.32688,3.31733e-05,3.31733e-05,3.31733e-05
